     1.000     0.000     0.000     1.000         *         *     1.000     1.000     7.100     0.666     0.367   1
     1.000     0.000     1.000     2.000     2.000     1.000         *         *    25.000     1.195     0.326   1
     0.000     0.000     0.000     0.000         *         *     0.000     0.000    12.500    -0.955     0.685   1
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    46.100    -0.998     0.663   1
     0.000     0.000     1.000     0.000         *         *     0.000     1.000    12.400     0.439     0.369   2
     1.000     0.000     2.000     2.000     1.000     1.000         *         *    24.400     1.371     0.348   2
     1.000     0.000     1.000     1.000     1.000     2.000         *         *    45.300     1.559     0.300   2
     1.000     0.000     1.000     2.000         *         *     2.000     1.000     6.100     1.212     0.378   2
     1.000     2.000     2.000     2.000     2.000     2.000         *         *    42.400     2.457     0.496   3
     0.000     0.000     0.000     1.000         *         *     1.000     0.000    12.800    -0.218     0.494   3
     0.000     0.000     0.000     0.000         *         *     1.000     0.000     6.600    -0.550     0.605   3
     1.000     1.000     1.000     2.000     1.000     1.000         *         *    23.800     1.157     0.325   3
     1.000     0.000     1.000     0.000     1.000     1.000         *         *    42.700     0.911     0.338   5
     1.000     2.000     1.000     2.000     2.000     2.000         *         *    24.400     1.945     0.377   5
     0.000     0.000     0.000     0.000         *         *     0.000     0.000    12.700    -0.963     0.681   5
     0.000     0.000     0.000     0.000     1.000     0.000         *         *    39.100    -0.543     0.537   6
     0.000     0.000     0.000     1.000     0.000     0.000         *         *    24.500    -0.565     0.526   6
     1.000     0.000     0.000     2.000         *         *     1.000     0.000     6.800     0.389     0.436   6
     0.000     2.000     0.000     2.000         *         *     0.000     1.000    12.100     0.422     0.377   7
     1.000     1.000     0.000     0.000     1.000     0.000         *         *    40.200     0.081     0.353   7
     0.000     1.000     0.000     1.000     1.000     0.000         *         *    25.000    -0.157     0.439   7
     0.000     0.000     1.000     0.000         *         *     0.000     2.000    12.300     0.684     0.406   8
     1.000     0.000     1.000     1.000     1.000     0.000         *         *    41.900     0.418     0.319   8
     1.000     0.000     2.000     1.000         *         *     2.000     1.000     6.200     1.467     0.387   8
     1.000     1.000     2.000     1.000     2.000     1.000         *         *    23.900     1.438     0.324   8
     0.000     0.000     1.000     1.000     0.000     1.000         *         *    42.300     0.580     0.327   9
     0.000     1.000     1.000     2.000         *         *     2.000     2.000    12.200     1.248     0.383   9
     0.000     0.000     1.000     1.000     1.000     1.000         *         *    24.100     0.700     0.326   9
     0.000     1.000     1.000     2.000         *         *     2.000     1.000     6.200     0.915     0.356   9
     0.000     0.000     0.000     0.000         *         *     0.000     0.000    12.400    -0.956     0.684  10
     0.000     0.000     0.000     1.000     0.000     0.000         *         *    24.500    -0.573     0.550  10
     1.000     0.000     1.000     2.000     2.000     1.000         *         *    24.000     1.201     0.327  11
     0.000     1.000     0.000     2.000         *         *     2.000     1.000    12.200     0.544     0.370  11
     0.000     0.000     0.000     0.000         *         *     0.000     0.000    12.700    -0.971     0.701  12
     0.000     0.000     1.000     1.000     0.000     1.000         *         *    24.200     0.593     0.326  12
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    42.400    -0.999     0.677  12
         *     0.000     1.000     2.000         *         *     2.000     1.000     6.500     1.063     0.405  12
     1.000     2.000     1.000     2.000     1.000     1.000         *         *    43.200     1.218     0.326  13
     0.000     0.000     1.000     1.000         *         *     1.000     1.000     6.000     0.676     0.350  13
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    24.400    -1.004     0.688  13
     0.000     2.000     0.000     1.000         *         *     0.000     0.000    12.300    -0.186     0.504  13
     0.000     0.000     0.000     1.000     1.000     0.000         *         *    41.400    -0.278     0.440  14
     0.000     0.000     0.000     1.000     1.000     0.000         *         *    24.300    -0.283     0.449  14
     0.000     0.000     1.000     2.000         *         *     0.000     1.000    13.000     0.655     0.362  14
     0.000     0.000     1.000     1.000         *         *     1.000     1.000    12.200     0.684     0.348  15
     0.000     1.000     1.000     2.000         *         *     1.000     1.000     6.300     0.856     0.358  15
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    24.900    -1.007     0.671  15
     0.000     0.000     0.000     0.000     1.000     0.000         *         *    36.500    -0.564     0.547  15
     0.000     1.000     0.000     1.000     2.000     0.000         *         *    24.000    -0.061     0.398  17
     0.000     1.000     1.000     2.000         *         *     1.000     1.000     7.200     0.858     0.349  17
     0.000     0.000     0.000     0.000         *         *     0.000     0.000    11.800    -0.945     0.683  17
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    41.600    -1.007     0.680  18
     0.000     0.000     0.000     2.000         *         *     0.000     0.000    13.000    -0.409     0.555  18
     1.000     0.000     1.000     0.000     2.000     1.000         *         *    23.900     1.007     0.340  18
     0.000     0.000     0.000     1.000     1.000     0.000         *         *    24.100    -0.268     0.432  19
     1.000     2.000     1.000     2.000         *         *     0.000     2.000    12.700     1.568     0.398  19
     0.000     0.000     0.000     1.000         *         *     0.000     0.000     6.800    -0.489     0.566  21
     0.000     0.000     0.000     1.000         *         *     0.000     1.000    12.400     0.135     0.420  21
     0.000     0.000     0.000     0.000     1.000     0.000         *         *    24.000    -0.543     0.522  21
     0.000     0.000     0.000     2.000     1.000     1.000         *         *    24.300     0.462     0.314  22
     0.000     0.000     1.000     2.000         *         *     2.000     2.000     6.400     1.152     0.387  22
     0.000     0.000     0.000     0.000     1.000     0.000         *         *    36.100    -0.545     0.535  22
     0.000     0.000     0.000     0.000         *         *     1.000     1.000    12.000     0.113     0.434  22
     0.000     1.000     1.000     2.000         *         *     2.000     1.000     6.400     0.924     0.359  23
     0.000     0.000     0.000     0.000     0.000     0.000         *         *    24.100    -0.997     0.640  23
     1.000     2.000     1.000     2.000         *         *     1.000     1.000    12.200     1.295     0.364  23
