     0.000     0.000     1.000         *         *    46.100     0.000     0.455     0.786   1
     0.000     2.000     1.000         *         *    25.000     0.000     1.835     0.653   1
     0.000     0.000         *     0.000     0.000    12.500     0.000    -0.115     0.847   1
     0.000     0.000         *     0.000     1.000     7.100     0.000     0.166     0.780   1
     0.000     2.000     2.000         *         *    45.300     0.000     2.045     0.661   2
     0.000     0.000         *     0.000     2.000     6.100     0.000     0.266     0.782   2
     0.000     0.000         *     0.000     1.000    12.400     0.000     0.327     0.772   2
     0.000     1.000     0.000         *         *    24.400     0.000     1.278     0.576   2
     0.000     0.000         *     0.000     0.000     6.600     0.000    -0.307     0.857   3
     2.000     0.000     2.000         *         *    42.400     0.000     1.131     0.714   3
     0.000     0.000         *     1.000     0.000    12.800     0.000     0.751     0.718   3
     1.000     1.000     1.000         *         *    23.800     0.000     1.635     0.524   3
     0.000     0.000         *     0.000     0.000    12.700     0.000    -0.131     0.841   5
     0.000     0.000     2.000         *         *    42.700     0.000     0.514     0.777   5
     0.000     2.000     1.000         *         *    24.400     0.000     1.831     0.656   5
     0.000     1.000     0.000         *         *    39.100     0.000     1.350     0.566   6
     0.000     0.000         *     0.000     0.000     6.800     0.000    -0.290     0.852   6
     0.000     0.000     0.000         *         *    24.500     0.000    -0.006     0.836   6
     0.000     0.000     1.000         *         *    25.000     0.000     0.243     0.827   7
     0.000     0.000         *     0.000     0.000    12.100     0.000    -0.130     0.860   7
     0.000     0.000     1.000         *         *    40.200     0.000     0.407     0.805   7
     0.000     0.000     1.000         *         *    41.900     0.000     0.417     0.808   8
     0.000     0.000         *     0.000     1.000     6.200     0.000     0.120     0.774   8
     1.000     0.000     1.000         *         *    23.900     0.000     0.813     0.714   8
     0.000     0.000         *     0.000     0.000    12.300     0.000    -0.134     0.866   8
     0.000     0.000         *     0.000     1.000    12.200     0.000     0.327     0.773   9
     0.000     0.000         *     0.000     0.000     6.200     0.000    -0.333     0.843   9
     0.000     0.000     2.000         *         *    42.300     0.000     0.515     0.785   9
     0.000     1.000     1.000         *         *    24.100     0.000     1.386     0.561   9
     0.000     0.000         *     0.000     0.000    12.400     0.000    -0.136     0.856  10
     0.000     1.000     2.000         *         *    24.500     0.000     1.436     0.572  10
     0.000     0.000         *     1.000     0.000    12.200     0.000     0.749     0.697  11
     0.000     1.000     1.000         *         *    24.000     0.000     1.372     0.583  11
     0.000     0.000         *     0.000     0.000     6.500     0.000    -0.319     0.844  12
     0.000     0.000     0.000         *         *    42.400     0.000     0.188     0.837  12
     0.000     0.000     1.000         *         *    24.200     0.000     0.246     0.821  12
     0.000     0.000         *     0.000     0.000    12.700     0.000    -0.113     0.855  12
     0.000     0.000         *     0.000     0.000     6.000     0.000    -0.345     0.848  13
     0.000     0.000     1.000         *         *    43.200     0.000     0.439     0.800  13
     0.000     0.000     0.000         *         *    24.400     0.000    -0.009     0.860  13
     0.000     0.000         *     0.000     0.000    12.300     0.000    -0.126     0.849  13
     0.000     0.000         *     0.000     0.000    13.000     1.000    -0.245     0.868  14
     0.000     0.000     0.000         *         *    24.300     1.000    -0.197     0.810  14
     0.000     0.000     1.000         *         *    41.400     1.000     0.952     0.551  14
     0.000     0.000         *     0.000     0.000    12.200     0.000    -0.137     0.847  15
     0.000     2.000     1.000         *         *    24.900     0.000     1.832     0.655  15
